# STATION: KOGD				
# STATION NAME: Ogden-Hinckley Airport				
# LATITUDE: 41.19406				
# LONGITUDE: -112.01681				
# ELEVATION [ft]: 4440				
# STATE: UT				
Station_ID	Date_Time	air_temp_set_1	wind_speed_set_1	wind_gust_set_1
		Fahrenheit	Miles/hour	Miles/hour
KOGD	09/07/2020 23:00 UTC	91.04	9.21	
KOGD	09/07/2020 23:05 UTC	91.04	11.51	
KOGD	09/07/2020 23:10 UTC	91.04	8.06	
KOGD	09/07/2020 23:15 UTC	91.4	13.81	
KOGD	09/07/2020 23:20 UTC	89.96	9.21	19.56
KOGD	09/07/2020 23:25 UTC	91.4	10.36	19.56
KOGD	09/07/2020 23:30 UTC	89.6	10.36	
KOGD	09/07/2020 23:35 UTC	89.96	9.21	
KOGD	09/07/2020 23:40 UTC	89.6	11.51	
KOGD	09/07/2020 23:45 UTC	89.6	11.51	
KOGD	09/07/2020 23:50 UTC	89.96	6.91	18.41
KOGD	09/07/2020 23:53 UTC	89.96	9.21	18.41
KOGD	09/07/2020 23:55 UTC	89.96	10.36	
KOGD	09/08/2020 00:00 UTC	89.96	10.36	
KOGD	09/08/2020 00:05 UTC	89.06	9.21	
KOGD	09/08/2020 00:10 UTC	89.06	9.21	
KOGD	09/08/2020 00:15 UTC	89.6	8.06	
KOGD	09/08/2020 00:20 UTC	89.06	6.91	
KOGD	09/08/2020 00:25 UTC	89.6	8.06	
KOGD	09/08/2020 00:30 UTC	89.6	8.06	
KOGD	09/08/2020 00:35 UTC	87.98	6.91	
KOGD	09/08/2020 00:40 UTC	87.8	8.06	
KOGD	09/08/2020 00:45 UTC	87.8	8.06	
KOGD	09/08/2020 00:50 UTC	87.98	6.91	
KOGD	09/08/2020 00:53 UTC	87.08	6.91	
KOGD	09/08/2020 00:55 UTC	87.08	5.75	
KOGD	09/08/2020 01:00 UTC	87.08	8.06	
KOGD	09/08/2020 01:05 UTC	87.08	6.91	
KOGD	09/08/2020 01:10 UTC	86	6.91	
KOGD	09/08/2020 01:15 UTC	86	11.51	
KOGD	09/08/2020 01:20 UTC	86	14.96	19.56
KOGD	09/08/2020 01:25 UTC	84.92	12.66	
KOGD	09/08/2020 01:30 UTC	84.2	18.41	25.32
KOGD	09/08/2020 01:35 UTC	84.2	21.86	27.62
KOGD	09/08/2020 01:40 UTC	84.2	26.47	32.22
KOGD	09/08/2020 01:45 UTC	82.4	27.62	34.52
KOGD	09/08/2020 01:50 UTC	82.94	26.47	39.13
KOGD	09/08/2020 01:53 UTC	82.04	29.92	39.13
KOGD	09/08/2020 01:55 UTC	82.04	25.32	39.13
KOGD	09/08/2020 02:00 UTC	80.96	32.22	41.43
KOGD	09/08/2020 02:05 UTC	80.06	29.92	41.43
KOGD	09/08/2020 02:10 UTC	80.06	28.77	42.58
KOGD	09/08/2020 02:15 UTC	80.06	29.92	42.58
KOGD	09/08/2020 02:20 UTC	78.98	24.17	41.43
KOGD	09/08/2020 02:25 UTC	78.98	24.17	34.52
KOGD	09/08/2020 02:30 UTC	78.8	24.17	40.28
KOGD	09/08/2020 02:35 UTC	78.08	23.02	40.28
KOGD	09/08/2020 02:40 UTC	77	18.41	34.52
KOGD	09/08/2020 02:45 UTC	75.2	18.41	28.77
KOGD	09/08/2020 02:50 UTC	73.94	16.11	28.77
KOGD	09/08/2020 02:53 UTC	73.94	16.11	26.47
KOGD	09/08/2020 02:55 UTC	73.94	17.26	25.32
KOGD	09/08/2020 03:00 UTC	73.4	17.26	31.07
KOGD	09/08/2020 03:05 UTC	69.98	18.41	31.07
KOGD	09/08/2020 03:10 UTC	69.08	11.51	26.47
KOGD	09/08/2020 03:15 UTC	69.8	12.66	26.47
KOGD	09/08/2020 03:20 UTC	71.06	13.81	
KOGD	09/08/2020 03:25 UTC	71.96	21.86	28.77
KOGD	09/08/2020 03:30 UTC	69.8	18.41	28.77
KOGD	09/08/2020 03:35 UTC	69.8	23.02	28.77
KOGD	09/08/2020 03:40 UTC	68	19.56	29.92
KOGD	09/08/2020 03:45 UTC	66.2	14.96	29.92
KOGD	09/08/2020 03:48 UTC	66.2	10.36	26.47
KOGD	09/08/2020 03:50 UTC	66.92	14.96	26.47
KOGD	09/08/2020 03:53 UTC	68	16.11	21.86
KOGD	09/08/2020 03:55 UTC	68	18.41	23.02
KOGD	09/08/2020 04:00 UTC	66.92	16.11	23.02
KOGD	09/08/2020 04:01 UTC	66.92	20.71	29.92
KOGD	09/08/2020 04:05 UTC	66.92	23.02	29.92
KOGD	09/08/2020 04:10 UTC	66.92	16.11	29.92
KOGD	09/08/2020 04:15 UTC	66.92	16.11	25.32
KOGD	09/08/2020 04:20 UTC	66.92	17.26	25.32
KOGD	09/08/2020 04:25 UTC	66.92	17.26	24.17
KOGD	09/08/2020 04:30 UTC	66.2	17.26	
KOGD	09/08/2020 04:35 UTC	66.2	9.21	
KOGD	09/08/2020 04:40 UTC	66.2	9.21	
KOGD	09/08/2020 04:45 UTC	66.2	12.66	
KOGD	09/08/2020 04:50 UTC	66.92	11.51	19.56
KOGD	09/08/2020 04:53 UTC	66.02	10.36	19.56
KOGD	09/08/2020 04:55 UTC	66.02	8.06	19.56
KOGD	09/08/2020 05:00 UTC	64.94	17.26	20.71
KOGD	09/08/2020 05:05 UTC	62.06	16.11	
KOGD	09/08/2020 05:10 UTC	62.06	13.81	
KOGD	09/08/2020 05:15 UTC	60.98	16.11	23.02
KOGD	09/08/2020 05:20 UTC	60.08	14.96	23.02
KOGD	09/08/2020 05:25 UTC	59	14.96	
KOGD	09/08/2020 05:30 UTC	59	14.96	19.56
KOGD	09/08/2020 05:35 UTC	57.92	12.66	19.56
KOGD	09/08/2020 05:38 UTC	59	14.96	
KOGD	09/08/2020 05:40 UTC	59	14.96	
KOGD	09/08/2020 05:45 UTC	60.8	17.26	
KOGD	09/08/2020 05:50 UTC	60.08	17.26	
KOGD	09/08/2020 05:53 UTC	60.08	14.96	
KOGD	09/08/2020 05:55 UTC	59	16.11	
KOGD	09/08/2020 06:00 UTC	57.02	19.56	
KOGD	09/08/2020 06:05 UTC	55.94	16.11	
KOGD	09/08/2020 06:10 UTC	53.96	12.66	
KOGD	09/08/2020 06:15 UTC	53.06	13.81	20.71
KOGD	09/08/2020 06:20 UTC	53.06	17.26	21.86
KOGD	09/08/2020 06:25 UTC	51.8	18.41	
KOGD	09/08/2020 06:30 UTC	51.8	18.41	25.32
KOGD	09/08/2020 06:35 UTC	51.08	19.56	26.47
KOGD	09/08/2020 06:40 UTC	51.8	23.02	27.62
KOGD	09/08/2020 06:45 UTC	51.8	21.86	31.07
KOGD	09/08/2020 06:50 UTC	50	26.47	32.22
KOGD	09/08/2020 06:53 UTC	50	23.02	32.22
KOGD	09/08/2020 06:55 UTC	50	23.02	32.22
KOGD	09/08/2020 07:00 UTC	51.08	23.02	31.07
KOGD	09/08/2020 07:05 UTC	51.08	23.02	29.92
KOGD	09/08/2020 07:10 UTC	51.08	19.56	29.92
KOGD	09/08/2020 07:15 UTC	51.8	17.26	26.47
KOGD	09/08/2020 07:20 UTC	51.98	20.71	31.07
KOGD	09/08/2020 07:25 UTC	51.8	19.56	31.07
KOGD	09/08/2020 07:30 UTC	51.8	23.02	28.77
KOGD	09/08/2020 07:35 UTC	51.08	16.11	32.22
KOGD	09/08/2020 07:40 UTC	51.8	17.26	32.22
KOGD	09/08/2020 07:45 UTC	51.8	19.56	25.32
KOGD	09/08/2020 07:50 UTC	50	21.86	28.77
KOGD	09/08/2020 07:53 UTC	50	18.41	28.77
KOGD	09/08/2020 07:55 UTC	50	20.71	28.77
KOGD	09/08/2020 08:00 UTC	50	19.56	31.07
KOGD	09/08/2020 08:05 UTC	50	21.86	31.07
KOGD	09/08/2020 08:10 UTC	50	19.56	29.92
KOGD	09/08/2020 08:15 UTC	50	16.11	26.47
KOGD	09/08/2020 08:20 UTC	51.08	14.96	25.32
KOGD	09/08/2020 08:25 UTC	51.08	16.11	25.32
KOGD	09/08/2020 08:30 UTC	51.8	20.71	29.92
KOGD	09/08/2020 08:35 UTC	51.98	24.17	31.07
KOGD	09/08/2020 08:40 UTC	51.8	26.47	33.37
KOGD	09/08/2020 08:45 UTC	50	21.86	32.22
KOGD	09/08/2020 08:50 UTC	48.02	34.52	46.03
KOGD	09/08/2020 08:53 UTC	46.94	25.32	46.03
KOGD	09/08/2020 08:55 UTC	46.94	26.47	46.03
KOGD	09/08/2020 09:00 UTC	46.94	27.62	40.28
KOGD	09/08/2020 09:05 UTC	46.94	29.92	36.82
KOGD	09/08/2020 09:10 UTC	46.94	20.71	35.67
KOGD	09/08/2020 09:15 UTC	46.04	19.56	40.28
KOGD	09/08/2020 09:20 UTC	46.04	33.37	46.03
KOGD	09/08/2020 09:25 UTC	46.04	23.02	46.03
KOGD	09/08/2020 09:26 UTC	46.04	29.92	46.03
KOGD	09/08/2020 09:30 UTC	46.4	31.07	36.82
KOGD	09/08/2020 09:35 UTC	46.4	24.17	40.28
KOGD	09/08/2020 09:40 UTC	46.4	20.71	40.28
KOGD	09/08/2020 09:45 UTC	46.4	16.11	29.92
KOGD	09/08/2020 09:50 UTC	46.94	13.81	29.92
KOGD	09/08/2020 09:53 UTC	46.94	18.41	29.92
KOGD	09/08/2020 09:55 UTC	46.94	17.26	29.92
KOGD	09/08/2020 10:00 UTC	46.04	16.11	29.92
KOGD	09/08/2020 10:05 UTC	46.94	13.81	26.47
KOGD	09/08/2020 10:10 UTC	46.94	18.41	33.37
KOGD	09/08/2020 10:15 UTC	46.94	18.41	33.37
KOGD	09/08/2020 10:20 UTC	46.94	20.71	32.22
KOGD	09/08/2020 10:25 UTC	46.94	17.26	39.13
KOGD	09/08/2020 10:30 UTC	48.2	27.62	37.98
KOGD	09/08/2020 10:33 UTC	48.02	31.07	47.18
KOGD	09/08/2020 10:35 UTC	48.2	10.36	47.18
KOGD	09/08/2020 10:40 UTC	48.2		
KOGD	09/08/2020 10:45 UTC	48.2	19.56	35.67
KOGD	09/08/2020 10:50 UTC	48.02	19.56	46.03
KOGD	09/08/2020 10:53 UTC	48.02	39.13	50.64
KOGD	09/08/2020 10:55 UTC	48.02	23.02	50.64
KOGD	09/08/2020 11:00 UTC	48.02	17.26	50.64
KOGD	09/08/2020 11:05 UTC	48.02	24.17	46.03
KOGD	09/08/2020 11:10 UTC	46.94	16.11	46.03
KOGD	09/08/2020 11:15 UTC	48.02	25.32	41.43
KOGD	09/08/2020 11:20 UTC	48.02	18.41	41.43
KOGD	09/08/2020 11:25 UTC	48.02	27.62	40.28
KOGD	09/08/2020 11:30 UTC	48.2	29.92	37.98
KOGD	09/08/2020 11:35 UTC	48.2	33.37	46.03
KOGD	09/08/2020 11:40 UTC	48.2	26.47	32.22
KOGD	09/08/2020 11:45 UTC	48.02	34.52	46.03
KOGD	09/08/2020 11:50 UTC	48.02	26.47	46.03
KOGD	09/08/2020 11:53 UTC	48.02	31.07	49.48
KOGD	09/08/2020 11:55 UTC	48.02	21.86	49.48
KOGD	09/08/2020 12:00 UTC	48.2	23.02	31.07
KOGD	09/08/2020 12:05 UTC	48.02	13.81	41.43
KOGD	09/08/2020 12:10 UTC	48.2	29.92	37.98
KOGD	09/08/2020 12:15 UTC	46.4	21.86	34.52
KOGD	09/08/2020 12:20 UTC	46.94	33.37	55.24
KOGD	09/08/2020 12:25 UTC	46.94	37.98	55.24
KOGD	09/08/2020 12:30 UTC	46.4	40.28	52.93
KOGD	09/08/2020 12:35 UTC	46.94	28.77	52.93
KOGD	09/08/2020 12:40 UTC	46.94	41.43	54.09
KOGD	09/08/2020 12:45 UTC	46.94	43.73	57.54
KOGD	09/08/2020 12:50 UTC	46.94	39.13	64.44
KOGD	09/08/2020 12:53 UTC	46.94	37.98	64.44
KOGD	09/08/2020 12:55 UTC	46.94	43.73	64.44
KOGD	09/08/2020 13:00 UTC	46.94	35.67	58.69
KOGD	09/08/2020 13:05 UTC	48.02	40.28	54.09
KOGD	09/08/2020 13:10 UTC	48.02	48.33	60.99
KOGD	09/08/2020 13:15 UTC	48.02	33.37	60.99
KOGD	09/08/2020 13:20 UTC	48.02	35.67	52.93
KOGD	09/08/2020 13:25 UTC	48.02	28.77	51.79
KOGD	09/08/2020 13:30 UTC	48.2	29.92	44.88
KOGD	09/08/2020 13:35 UTC	48.02	40.28	56.39
KOGD	09/08/2020 13:40 UTC	48.2	29.92	39.13
KOGD	09/08/2020 13:45 UTC	48.2	28.77	39.13
KOGD	09/08/2020 13:50 UTC	48.02	20.71	52.93
KOGD	09/08/2020 13:53 UTC	48.02	14.96	39.13
KOGD	09/08/2020 13:55 UTC	48.02	20.71	29.92
KOGD	09/08/2020 14:00 UTC	48.02	10.36	28.77
KOGD	09/08/2020 14:05 UTC	48.02	12.66	33.37
KOGD	09/08/2020 14:10 UTC	48.02	10.36	33.37
KOGD	09/08/2020 14:15 UTC	48.02	20.71	32.22
KOGD	09/08/2020 14:20 UTC	48.02	21.86	37.98
KOGD	09/08/2020 14:25 UTC	48.02	34.52	48.33
KOGD	09/08/2020 14:30 UTC	48.2	34.52	41.43
KOGD	09/08/2020 14:35 UTC	48.02	20.71	46.03
KOGD	09/08/2020 14:40 UTC	48.2	19.56	29.92
KOGD	09/08/2020 14:45 UTC	48.2	25.32	35.67
KOGD	09/08/2020 14:50 UTC	46.94	20.71	40.28
KOGD	09/08/2020 14:53 UTC	46.94	25.32	36.82
KOGD	09/08/2020 14:55 UTC	46.94	27.62	42.58
KOGD	09/08/2020 15:00 UTC	46.94	21.86	42.58
KOGD	09/08/2020 15:05 UTC	48.02	18.41	37.98
KOGD	09/08/2020 15:10 UTC	48.02	18.41	37.98
